,Price,Case material,Bracelet material,Shape,Crystal,Clasp
86,75004875.0,steel,Animal skin,Circular,Sapphire crystal,Double-fold clasp
87,12462243.75,steel,Leather,Circular,Sapphire crystal,Fold clasp
88,22426593.75,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
89,9304143.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
90,101106843.75,Ceramic,Textile,Circular,Sapphire crystal,Buckle
91,18567450.0,steel,Leather,Circular,Sapphire crystal,Fold clasp
92,35732812.5,steel,Rubber,Circular,Sapphire crystal,Buckle
93,20616131.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
94,5846568.75,steel,Leather,Rectangular,Sapphire crystal,Double-fold clasp
95,36719718.75,steel,Leather,Circular,Sapphire crystal,Buckle
96,51400800.0,steel,Animal skin,Rectangular,Sapphire crystal,Fold clasp
97,3307837.5,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
98,1844493.75,steel,Leather,Circular,Mineral Glass,Buckle
99,16580025.0,steel,Leather,Circular,Sapphire crystal,Fold clasp
100,6840281.25,steel,Leather,Circular,Sapphire crystal,Buckle
101,3301031.25,steel,Steel,Circular,Mineral Glass,Buckle
102,16300968.75,steel,Steel,Rectangular,Sapphire crystal,Buckle
103,9004668.75,steel,Leather,Circular,Sapphire crystal,Buckle
104,5737668.75,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
105,23481562.5,steel,Rubber,Circular,Sapphire crystal,Buckle
106,1463343.75,steel,Steel,Circular,Mineral Glass,Fold clasp
107,946068.75,steel,Steel,Rectangular,Plexiglass,No clasp
108,38659500.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
109,530887.5,steel,Steel,Circular,Mineral Glass,Double-fold clasp
110,72792843.75,gold,Rubber,Circular,Sapphire crystal,Buckle
111,3137681.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
112,214907343.75,gold,Rubber,Circular,Sapphire crystal,Fold clasp
114,8085825.0,steel,Steel,Circular,Sapphire crystal,Jewelry clasp
115,12135543.75,Ceramic,Ceramic,Circular,Sapphire crystal,Fold clasp
116,112949718.75,steel,gold,Circular,Sapphire crystal,Fold clasp
117,15184743.75,steel,Steel,Circular,Sapphire crystal,Buckle
118,53054718.75,Ceramic,Rubber,Circular,Sapphire crystal,Fold clasp
119,23896743.75,Bronze,Leather,Circular,Sapphire crystal,Buckle
120,5717250.0,steel,Animal skin,Rectangular,Sapphire crystal,Buckle
121,13973231.25,steel,Rubber,Circular,Sapphire crystal,Buckle
122,36692493.75,steel,Animal skin,Circular,Plexiglass,Buckle
123,117067500.0,gold,Animal skin,Circular,Sapphire crystal,Buckle
124,6772218.75,steel,Leather,Rectangular,Plexiglass,Buckle
125,1245543.75,steel,Steel,Circular,Mineral Glass,Fold clasp
126,87630468.75,Ceramic,Rubber,Circular,Sapphire crystal,Fold clasp
127,57853125.0,steel,Rubber,Circular,Sapphire crystal,Fold clasp
128,58533750.0,steel,Leather,Circular,Sapphire crystal,Buckle
129,6241331.25,steel,Animal skin,Rectangular,Sapphire crystal,Fold clasp
130,1565437.5,steel,Leather,Circular,Plexiglass,Buckle
131,1456537.5,Plastic,Textile,Circular,Mineral Glass,Buckle
132,5111493.75,steel,Leather,Circular,Sapphire crystal,Buckle
133,109560206.25,gold,Ceramic,Circular,Sapphire crystal,Double-fold clasp
135,2572762.5,steel,Steel,Rectangular,Mineral Glass,Fold clasp
136,2722500.0,steel,Rubber,Circular,Sapphire crystal,Buckle
137,1715175.0,steel,Animal skin,Circular,Mineral Glass,Buckle
138,20582100.0,steel,Leather,Rectangular,Sapphire crystal,Buckle
139,6465937.5,steel,Steel,Circular,Sapphire crystal,"Fold clasp, hidden"
140,506630025.0,Platinum,Animal skin,Circular,Sapphire crystal,Buckle
141,27204581.25,steel,Leather,Rectangular,Sapphire crystal,Double-fold clasp
142,15000975.0,steel,Leather,Circular,Sapphire crystal,Buckle
144,5955468.75,steel,Animal skin,Circular,Sapphire crystal,Fold clasp
145,1905750.0,steel,Animal skin,Circular,Sapphire crystal,Buckle
146,8814093.75,gold,Animal skin,Rectangular,Plexiglass,Buckle
147,26204062.5,steel,Textile,Circular,Sapphire crystal,Buckle
148,16130812.5,steel,Steel,Circular,Sapphire crystal,Buckle
149,2198418.75,steel,Leather,Rectangular,Mineral Glass,Buckle
150,7146562.5,Titanium,Textile,Circular,Sapphire crystal,Fold clasp
151,27646987.5,steel,Leather,Rectangular,Sapphire crystal,Double-fold clasp
152,2429831.25,steel,Textile,Circular,Sapphire crystal,Buckle
153,62951006.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
154,9521943.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
155,1892137.5,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
156,128638125.0,steel,Rubber,Circular,Sapphire crystal,Fold clasp
157,27218193.75,steel,Rubber,Circular,Sapphire crystal,Fold clasp
158,142931250.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
159,99337218.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
160,946068.75,steel,Animal skin,Circular,Mineral Glass,Buckle
161,19397812.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
162,6581643.75,steel,Leather,Circular,Sapphire crystal,Buckle
163,11985806.25,steel,Leather,Circular,Sapphire crystal,Buckle
164,90182812.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
165,98656593.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
166,4757568.75,steel,Rubber,Circular,Mineral Glass,Buckle
167,2933493.75,steel,Animal skin,Rectangular,Sapphire crystal,Fold clasp
168,2348156.25,steel,Animal skin,Circular,Mineral Glass,Buckle
169,23141250.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
170,176622187.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
171,8814093.75,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
172,4764375.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
173,3893175.0,Plastic,Animal skin,Circular,Sapphire crystal,Buckle
174,9256500.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
175,26442281.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
176,10958062.5,gold,Animal skin,Rectangular,Plexiglass,Buckle
177,21106181.25,steel,Animal skin,Circular,Sapphire crystal,Buckle
178,12135543.75,steel,Leather,Rectangular,Sapphire crystal,Buckle
179,50672531.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
180,14973750.0,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
181,680625.0,steel,Leather,Circular,Glass,Buckle
182,11325600.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
183,258297187.5,steel,Animal skin,Circular,Sapphire crystal,Buckle
184,30212943.75,Carbon,Rubber,Circular,Sapphire crystal,Buckle
185,20071631.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
186,2606793.75,steel,Leather,Circular,Plastic,Buckle
187,15436575.0,Bronze,Textile,Circular,Sapphire crystal,Buckle
188,5070656.25,steel,Animal skin,Rectangular,Mineral Glass,Buckle
189,564578437.5,gold,gold,Circular,Sapphire crystal,Buckle
190,23454337.5,steel,Leather,Circular,Plexiglass,Buckle
191,116979018.75,gold,Leather,Rectangular,Sapphire crystal,Double-fold clasp
192,1170675.0,steel,Silicon,Circular,Mineral Glass,Buckle
193,92565000.0,gold,Leather,Circular,Sapphire crystal,Double-fold clasp
194,1054968.75,steel,Leather,Rectangular,Plexiglass,Buckle
195,1436118.75,steel,Steel,Circular,Mineral Glass,Buckle
196,35732812.5,steel,Animal skin,Circular,Sapphire crystal,Buckle
197,14558568.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
198,13163287.5,Carbon,Rubber,Rectangular,Sapphire crystal,Fold clasp
199,2906268.75,steel,Leather,Circular,Mineral Glass,Fold clasp
200,2484281.25,steel,Animal skin,Circular,Mineral Glass,Buckle
201,58499718.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
202,671776875.0,gold,Animal skin,Rectangular,Sapphire crystal,Buckle
203,11169056.25,steel,Rubber,Circular,Sapphire crystal,Buckle
204,1517793.75,steel,Leather,Rectangular,Mineral Glass,Buckle
205,22120312.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
206,36066318.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
207,2280093.75,gold,Leather,Circular,Sapphire crystal,Buckle
208,2797368.75,steel,Leather,Circular,Sapphire crystal,Buckle
209,2497893.75,steel,Textile,Circular,Sapphire crystal,Buckle
210,110907843.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
211,3021975.0,steel,Steel,Circular,Mineral Glass,Fold clasp
212,1490568.75,steel,Textile,Circular,Sapphire crystal,Buckle
213,54109687.5,steel,Rubber,Circular,Sapphire crystal,Buckle
214,9637650.0,steel,Textile,Circular,Sapphire crystal,Buckle
215,1170675.0,steel,Steel,Circular,Mineral Glass,Fold clasp
216,5070656.25,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
217,6915150.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
218,8024568.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
220,4580606.25,steel,Steel,Rectangular,Sapphire crystal,Double-fold clasp
221,10148118.75,steel,Leather,Circular,Plexiglass,Buckle
222,5717250.0,steel,gold,Rectangular,Sapphire crystal,"Fold clasp, hidden"
223,7833993.75,steel,Leather,Circular,Sapphire crystal,Buckle
224,8691581.25,steel,Other Metal,Rectangular,Sapphire crystal,"Fold clasp, hidden"
225,8085825.0,steel,Leather,Circular,Sapphire crystal,Buckle
226,3232968.75,steel,Steel,Rectangular,Plexiglass,Double-fold clasp
227,6547612.5,steel,Leather,Circular,Sapphire crystal,Buckle
228,105837187.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
229,1116225.0,steel,Steel,Circular,Plexiglass,Fold clasp
230,79088625.0,steel,Rubber,Circular,Sapphire crystal,Buckle
231,8167500.0,gold,Leather,Circular,Glass,Buckle
232,5826150.0,steel,Steel,Rectangular,Sapphire crystal,Fold clasp
233,32329687.5,steel,Animal skin,Circular,Sapphire crystal,Fold clasp
234,13966425.0,steel,Textile,Circular,Sapphire crystal,Buckle
235,10148118.75,steel,Rubber,Circular,Sapphire crystal,Buckle
236,1864912.5,steel,Leather,Rectangular,Mineral Glass,Buckle
237,5513062.5,steel,Leather,Circular,Sapphire crystal,Buckle
238,163350000.0,gold,Rubber,Circular,Sapphire crystal,Fold clasp
239,16545993.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
240,49678818.75,gold,Animal skin,Circular,Sapphire crystal,Buckle
241,13442343.75,steel,Rubber,Circular,Sapphire crystal,Buckle
242,14340768.75,steel,Leather,Circular,Sapphire crystal,"Fold clasp, hidden"
243,9413043.75,steel,Leather,Circular,Sapphire crystal,Fold clasp
244,6098400.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
245,993712.5,steel,Animal skin,Circular,Mineral Glass,Buckle
246,2130356.25,gold,Leather,Rectangular,Plexiglass,Buckle
247,12591562.5,steel,Leather,Circular,Sapphire crystal,Double-fold clasp
248,10291050.0,steel,Rubber,Circular,Sapphire crystal,Buckle
249,2096325.0,steel,Steel,Circular,Mineral Glass,Fold clasp
250,67279781.25,steel,Leather,Circular,Sapphire crystal,Fold clasp
251,13605693.75,steel,Leather,Circular,Sapphire crystal,Fold clasp
252,6608868.75,steel,Leather,Circular,Sapphire crystal,Fold clasp
253,19111950.0,steel,Leather,Circular,Sapphire crystal,Fold clasp
254,1218318750.0,Titanium,Rubber,Rectangular,Sapphire crystal,Buckle
255,3784275.0,steel,Steel,Rectangular,Sapphire crystal,Jewelry clasp
256,5104687.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
257,10284243.75,steel,Leather,Circular,Sapphire crystal,Buckle
258,1633159687.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
259,5880600.0,steel,Leather,Circular,Glass,Buckle
260,50835881.25,steel,Leather,Circular,Sapphire crystal,Buckle
261,4920918.75,steel,Leather,Circular,Sapphire crystal,Buckle
262,13197318.75,steel,Leather,Circular,Sapphire crystal,Fold clasp
263,385914375.0,gold,Leather,Circular,Sapphire crystal,Buckle
264,8807287.5,steel,Leather,Circular,Sapphire crystal,Buckle
265,38605050.0,steel,Textile,Rectangular,Sapphire crystal,Buckle
266,5513062.5,steel,Animal skin,Rectangular,Sapphire crystal,Buckle
267,803137.5,steel,Textile,Circular,Mineral Glass,Buckle
268,241621875.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
269,14939718.75,steel,Steel,Circular,Sapphire crystal,Buckle
270,2198418.75,steel,Steel,Circular,Mineral Glass,Fold clasp
271,2354962.5,steel,Leather,Circular,Mineral Glass,Buckle
272,735075.0,steel,Leather,Rectangular,Sapphire crystal,Buckle
273,54450000.0,steel,gold,Circular,Sapphire crystal,Fold clasp
274,3580087.5,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
275,5907825.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
276,1027743.75,gold,Animal skin,Rectangular,Plastic,Buckle
277,3913593.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
278,4764375.0,steel,Steel,Circular,Sapphire crystal,"Fold clasp, hidden"
279,8119856.25,steel,Leather,Circular,Sapphire crystal,Double-fold clasp
280,64319062.5,Titanium,Titanium,Circular,Sapphire crystal,Buckle
281,4063331.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
282,3763856.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
283,19928700.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
284,10331887.5,gold,Leather,Circular,Plexiglass,Buckle
285,17566931.25,steel,Leather,Circular,Sapphire crystal,Buckle
286,39135937.5,gold,gold,Circular,Sapphire crystal,Jewelry clasp
287,1320412.5,steel,Steel,Circular,Mineral Glass,Fold clasp
288,34024443.75,steel,Leather,Circular,Sapphire crystal,Fold clasp
289,1109418.75,steel,Leather,Rectangular,Plastic,Buckle
290,23481562.5,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
291,46248468.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
292,483243.75,steel,Steel,Circular,Mineral Glass,Fold clasp
293,2525118.75,steel,Leather,Rectangular,Sapphire crystal,Double-fold clasp
294,952875.0,steel,Animal skin,Circular,Sapphire crystal,Buckle
295,4730343.75,steel,Leather,Circular,Sapphire crystal,Buckle
296,151738537.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
297,46963125.0,steel,Rubber,Circular,Sapphire crystal,Buckle
298,728268.75,steel,Steel,Circular,Mineral Glass,Fold clasp
299,88140937.5,Titanium,Leather,Circular,Sapphire crystal,Buckle
300,5104687.5,steel,Steel,Rectangular,Sapphire crystal,Buckle
301,11591043.75,steel,Leather,Circular,Sapphire crystal,Buckle
302,9494718.75,steel,Steel,Circular,Sapphire crystal,Buckle
303,51387187.5,steel,Leather,Circular,Sapphire crystal,Buckle
304,135784687.5,steel,Animal skin,Rectangular,Sapphire crystal,Buckle
305,1470150.0,steel,Steel,Circular,Mineral Glass,Fold clasp
306,122444437.5,steel,Animal skin,Circular,Sapphire crystal,Fold clasp
307,250395131.25,gold,gold,Rectangular,Sapphire crystal,Fold clasp
308,1599468.75,steel,Leather,Rectangular,Plexiglass,Buckle
310,1619887.5,steel,Animal skin,Circular,Sapphire crystal,Buckle
311,1020937.5,steel,Steel,Circular,Mineral Glass,Fold clasp
312,10379531.25,steel,Leather,Rectangular,Sapphire crystal,Double-fold clasp
313,12761718.75,steel,Steel,Rectangular,Sapphire crystal,Fold clasp
314,6465937.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
315,6295781.25,steel,Steel,Rectangular,Sapphire crystal,Fold clasp
316,31989375.0,Carbon,Rubber,Circular,Sapphire crystal,Buckle
317,6493162.5,steel,Rubber,Circular,Sapphire crystal,Double-fold clasp
318,2688468.75,steel,Rubber,Circular,Mineral Glass,Buckle
319,4396837.5,steel,Leather,Circular,Sapphire crystal,Buckle
320,132129731.25,gold,Animal skin,Circular,Sapphire crystal,Buckle
321,17008818.75,steel,Leather,Circular,Sapphire crystal,Buckle
322,3028781.25,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
323,23787843.75,steel,Rubber,Circular,Sapphire crystal,Fold clasp
324,53517543.75,steel,Leather,Circular,Sapphire crystal,Buckle
325,99418893.75,gold,Animal skin,Circular,Sapphire crystal,Buckle
326,10699425.0,steel,Rubber,Circular,Sapphire crystal,Buckle
327,68709093.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
328,32656387.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
329,7752318.75,steel,Leather,Rectangular,Mineral Glass,Buckle
330,571725.0,steel,Steel,Circular,Mineral Glass,Fold clasp
331,5526675.0,Titanium,Rubber,Circular,Sapphire crystal,Buckle
332,2047993818.75,Titanium,Rubber,Circular,Sapphire crystal,Buckle
333,912037.5,steel,Steel,Circular,Mineral Glass,Fold clasp
334,3321450.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
335,14184225.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
336,15872175.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
337,22800937.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
338,132796743.75,gold,Animal skin,Circular,Sapphire crystal,Double-fold clasp
339,14020875.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
340,1102612.5,steel,Leather,Rectangular,Plexiglass,Buckle
341,32295656.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
342,1470150.0,steel,Animal skin,Circular,Mineral Glass,Buckle
343,3920400.0,Titanium,Textile,Circular,Sapphire crystal,Buckle
344,8528231.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
345,35065800.0,Carbon,Leather,Circular,Sapphire crystal,Double-fold clasp
346,660206.25,steel,Animal skin,Circular,Mineral Glass,Buckle
347,39816562.5,steel,Rubber,Rectangular,Sapphire crystal,Double-fold clasp
348,11733975.0,steel,Rubber,Circular,Sapphire crystal,Buckle
349,19152787.5,steel,Leather,Circular,Sapphire crystal,Buckle
350,10665393.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
351,4172231.25,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
352,7003631.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
353,11012512.5,steel,Leather,Circular,Sapphire crystal,Buckle
354,13952812.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
355,46112343.75,steel,Animal skin,Circular,Sapphire crystal,Fold clasp
356,42872568.75,Ceramic,Ceramic,Circular,Sapphire crystal,Double-fold clasp
357,3682181.25,steel,Leather,Rectangular,Plexiglass,Buckle
358,54994500.0,steel,Rubber,Rectangular,Sapphire crystal,Buckle
359,57682968.75,steel,Textile,Circular,Sapphire crystal,Buckle
360,332825625.0,gold,gold,Rectangular,Sapphire crystal,Jewelry clasp
361,2947106.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
362,91884375.0,steel,Animal skin,Circular,Sapphire crystal,Buckle
363,10998900.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
364,2212031.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
365,25094643.75,steel,Leather,Circular,Sapphire crystal,"Fold clasp, hidden"
366,1157062500.0,gold,gold,Circular,Sapphire crystal,Double-fold clasp
367,5832956.25,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
368,1136643750.0,Titanium,Rubber,Rectangular,Sapphire crystal,Fold clasp
369,100732500.0,gold,Leather,Rectangular,Sapphire crystal,Double-fold clasp
370,3369093.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
371,3981656.25,steel,Steel,Rectangular,Mineral Glass,Buckle
372,8820900.0,steel,Leather,Circular,Sapphire crystal,Buckle
373,1864912.5,Plastic,Rubber,Rectangular,Mineral Glass,Fold clasp
374,782718.75,steel,Leather,Circular,Plexiglass,Buckle
375,2429831.25,steel,Leather,Circular,Mineral Glass,Buckle
377,12183187.5,Carbon,Textile,Rectangular,Sapphire crystal,Buckle
378,39816562.5,gold,Animal skin,Rectangular,Plastic,Buckle
379,8848125.0,steel,Leather,Circular,Plexiglass,Buckle
380,19186818.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
381,11563818.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
382,6118818.75,steel,Rubber,Circular,Sapphire crystal,Buckle
383,25523437.5,steel,Leather,Circular,Plexiglass,Buckle
384,19887862.5,steel,Leather,Circular,Sapphire crystal,Buckle
385,1320412.5,steel,Silicon,Circular,Mineral Glass,Buckle
386,79633125.0,Carbon,Rubber,Circular,Sapphire crystal,Fold clasp
388,36760556.25,steel,Leather,Circular,Sapphire crystal,Double-fold clasp
389,3879562.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
390,173559375.0,gold,Leather,Circular,Sapphire crystal,Fold clasp
391,22072668.75,Ceramic,Ceramic,Circular,Sapphire crystal,Double-fold clasp
392,53687700.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
394,10624556.25,steel,Textile,Circular,Sapphire crystal,Buckle
395,3151293.75,steel,Leather,Circular,Sapphire crystal,Buckle
396,1218318.75,gold,Leather,Rectangular,Plexiglass,Buckle
397,51040068.75,steel,Leather,Circular,Sapphire crystal,Fold clasp
398,115365937.5,Carbon,Animal skin,Circular,Sapphire crystal,Buckle
399,5955468.75,gold,Leather,Rectangular,Plexiglass,Buckle
400,5070656.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
401,7997343.75,gold,Animal skin,Rectangular,Sapphire crystal,Buckle
402,10209375.0,steel,Leather,Circular,Sapphire crystal,Buckle
403,34711875.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
404,17349131.25,gold,gold,Circular,Mineral Glass,Jewelry clasp
405,37774687.5,steel,Steel,Circular,Sapphire crystal,Buckle
